apple	apple_apple
apple	apple_apple_inc.
arm	arm_arm
arm	arm_arm_architecture
bank	bank_bank_(geography)
bank	bank_bank
bass	bass_bass_guitar
bass	bass_double_bass
bass	bass_bass_(voice_type)
bow	bow_bow_(ship)
bow	bow_bow_and_arrow
bow	bow_bow_(music)
chair	chair_chair
chair	chair_chairman
crane	crane_crane_(bird)
crane	crane_crane_(machine)
club	club_club
club	club_nightclub
club	club_club_(weapon)
deck	deck_deck_(building)
deck	deck_deck_(ship)
digit	digit_numerical_digit
digit	digit_digit_(anatomy)
hood	hood_hood_(comics)
hood	hood_hood_(headgear)
hood	hood_hood_(vehicle)
java	java_java
java	java_java_(programming_language)
mole	mole_mole_(animal)
mole	mole_mole_(unit)
mole	mole_mole_(espionage)
mole	mole_mole_sauce
mole	mole_mole_(architecture)
pitcher	pitcher_pitcher
pitcher	pitcher_pitcher_(container)
pound	pound_pound_(currency)
pound	pound_pound_(mass)
seal	seal_seal_(musician)
seal	seal_pinniped
seal	seal_seal_(emblem)
seal	seal_seal_(mechanical)
spring	spring_spring_(season)
spring	spring_spring_(device)
spring	spring_spring_(hydrology)
square	square_square_(company)
square	square_square
square	square_square_number
square	square_town_square
trunk	trunk_trunk_(anatomy)
trunk	trunk_trunk_(botany)
trunk	trunk_trunk_(automobile)
yard	yard_yard
yard	yard_yard_(sailing)
